GBPUSD Historical Data,,,,,,
Date,Open,High,Low,Close,Change(Pips),Change(%)
02/10/2022 22:00,1.3554,1.35696,1.35332,1.35504,-3.6,-0.03
02/10/2022 18:00,1.36115,1.36204,1.35407,1.35606,-50.9,-0.38
02/10/2022 14:00,1.35469,1.36437,1.35234,1.3612,65.1,0.48
02/10/2022 10:00,1.35721,1.35807,1.35238,1.35469,-25.2,-0.19
02/10/2022 06:00,1.35303,1.35741,1.35289,1.35714,41.1,0.3
02/10/2022 02:00,1.35313,1.35365,1.35261,1.35304,-0.9,-0.01
02/09/2022 22:00,1.35338,1.35369,1.35262,1.35311,-2.7,-0.02
02/09/2022 18:00,1.35388,1.35409,1.35268,1.35345,-4.3,-0.03
02/09/2022 14:00,1.3579,1.35796,1.35296,1.35386,-40.4,-0.3
02/09/2022 10:00,1.35691,1.35893,1.35641,1.35795,10.4,0.08
02/09/2022 06:00,1.35552,1.35734,1.35373,1.35687,13.5,0.1
02/09/2022 02:00,1.35553,1.35664,1.35547,1.35555,0.2,0
02/08/2022 22:00,1.35395,1.35555,1.35345,1.35552,15.7,0.12
02/08/2022 18:00,1.35442,1.35556,1.35373,1.35479,3.7,0.03
02/08/2022 14:00,1.35384,1.35567,1.35354,1.35442,5.8,0.04
02/08/2022 10:00,1.35516,1.35638,1.35157,1.35384,-13.2,-0.1
02/08/2022 06:00,1.35178,1.35549,1.35078,1.35518,34,0.25
02/08/2022 02:00,1.35352,1.35363,1.35114,1.35174,-17.8,-0.13
02/07/2022 22:00,1.35367,1.3539,1.35222,1.35354,-1.3,-0.01
02/07/2022 18:00,1.35169,1.35379,1.35155,1.35353,18.4,0.14
02/07/2022 14:00,1.35218,1.35358,1.35016,1.35169,-4.9,-0.04
02/07/2022 10:00,1.3516,1.35242,1.34904,1.35219,5.9,0.04
02/07/2022 06:00,1.35199,1.35505,1.35149,1.35157,-4.2,-0.03
02/07/2022 02:00,1.35326,1.35348,1.35154,1.35204,-12.2,-0.09
02/06/2022 22:00,1.35303,1.35438,1.35266,1.35325,2.2,0.02
02/04/2022 18:00,1.35345,1.35477,1.3523,1.35276,-6.9,-0.05
02/04/2022 14:00,1.35122,1.35513,1.35079,1.35348,22.6,0.17
02/04/2022 10:00,1.35688,1.35797,1.3505,1.3512,-56.8,-0.42
02/04/2022 06:00,1.35965,1.35977,1.35657,1.35686,-27.9,-0.21
02/04/2022 02:00,1.36039,1.36148,1.35946,1.35966,-7.3,-0.05
02/03/2022 22:00,1.35957,1.36119,1.35919,1.36038,8.1,0.06
02/03/2022 18:00,1.36076,1.36089,1.35854,1.3599,-8.6,-0.06
02/03/2022 14:00,1.35819,1.36196,1.35692,1.36076,25.7,0.19
02/03/2022 10:00,1.35578,1.36278,1.35377,1.35819,24.1,0.18
02/03/2022 06:00,1.3553,1.35617,1.35474,1.35579,4.9,0.04
02/03/2022 02:00,1.35648,1.35673,1.35505,1.35527,-12.1,-0.09
02/02/2022 22:00,1.35716,1.35763,1.35564,1.35648,-6.8,-0.05
02/02/2022 18:00,1.35772,1.35862,1.35681,1.35756,-1.6,-0.01
02/02/2022 14:00,1.35602,1.35832,1.35542,1.35775,17.3,0.13
02/02/2022 10:00,1.35421,1.35876,1.35358,1.35602,18.1,0.13
02/02/2022 06:00,1.35198,1.35478,1.35192,1.35411,21.3,0.16
02/02/2022 02:00,1.35256,1.35273,1.35163,1.35196,-6,-0.04
02/01/2022 22:00,1.35216,1.35272,1.35138,1.35256,4,0.03
02/01/2022 18:00,1.35057,1.35278,1.35048,1.35238,18.1,0.13
02/01/2022 14:00,1.34958,1.35193,1.34864,1.35062,10.4,0.08
02/01/2022 10:00,1.34982,1.35139,1.34759,1.34953,-2.9,-0.02
02/01/2022 06:00,1.34519,1.35008,1.34427,1.34979,46,0.34
02/01/2022 02:00,1.34385,1.34572,1.34353,1.34524,13.9,0.1
01/31/2022 22:00,1.34433,1.34484,1.34342,1.34383,-5,-0.04
01/31/2022 18:00,1.34364,1.34607,1.34353,1.34451,8.7,0.06
01/31/2022 14:00,1.34428,1.3455,1.34058,1.34364,-6.4,-0.05
01/31/2022 10:00,1.34453,1.34483,1.33933,1.34431,-2.2,-0.02
01/31/2022 06:00,1.34173,1.34485,1.34149,1.34449,27.6,0.21
01/31/2022 02:00,1.34132,1.34204,1.34077,1.34174,4.2,0.03
01/30/2022 22:00,1.33866,1.3414,1.33857,1.34132,26.6,0.2
01/28/2022 18:00,1.3388,1.34,1.33732,1.33948,6.8,0.05
01/28/2022 14:00,1.34272,1.34331,1.33885,1.33885,-38.7,-0.29
01/28/2022 10:00,1.33819,1.34269,1.33696,1.34267,44.8,0.33
01/28/2022 06:00,1.34126,1.34146,1.33651,1.3382,-30.6,-0.23
01/28/2022 02:00,1.33935,1.34151,1.33913,1.34123,18.8,0.14
01/27/2022 22:00,1.33816,1.3395,1.33755,1.33941,12.5,0.09
